127.0.0.1, 2018-05-17 13:31:44, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.003961
127.0.0.1, 2018-05-17 13:31:44, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.000505
127.0.0.1, 2018-05-17 13:31:44, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.000896
127.0.0.1, 2018-05-17 13:31:45, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000425
127.0.0.1, 2018-05-17 13:31:45, GET, /start/api/get_memos, HTTP/1.1, 200, 0.057307
127.0.0.1, 2018-05-17 13:31:45, GET, /start/api/get_my_email, HTTP/1.1, 200, 0.079465
127.0.0.1, 2018-05-17 13:31:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000280
127.0.0.1, 2018-05-17 13:31:51, GET, /start/default/index, HTTP/1.1, 200, 0.040371
127.0.0.1, 2018-05-17 13:31:51, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.000523
127.0.0.1, 2018-05-17 13:31:51, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.001434
127.0.0.1, 2018-05-17 13:31:51, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.002417
127.0.0.1, 2018-05-17 13:31:51, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.000812
127.0.0.1, 2018-05-17 13:31:51, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.005951
127.0.0.1, 2018-05-17 13:31:51, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.000710
127.0.0.1, 2018-05-17 13:31:51, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.000665
127.0.0.1, 2018-05-17 13:31:51, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.000529
127.0.0.1, 2018-05-17 13:31:51, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.000419
127.0.0.1, 2018-05-17 13:31:51, GET, /start/static/js/default_index.js, HTTP/1.1, 200, 0.000724
127.0.0.1, 2018-05-17 13:31:51, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.001603
127.0.0.1, 2018-05-17 13:31:51, GET, /start/static/js/vue.js, HTTP/1.1, 200, 0.000592
127.0.0.1, 2018-05-17 13:31:52, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.003117
127.0.0.1, 2018-05-17 13:31:52, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000486
127.0.0.1, 2018-05-17 13:31:52, GET, /start/api/get_memos, HTTP/1.1, 200, 0.062183
127.0.0.1, 2018-05-17 13:31:52, GET, /start/api/get_my_email, HTTP/1.1, 200, 0.092696
127.0.0.1, 2018-05-17 13:31:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000289
127.0.0.1, 2018-05-17 13:32:01, GET, /start/default/index, HTTP/1.1, 200, 0.041923
127.0.0.1, 2018-05-17 13:32:01, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.001376
127.0.0.1, 2018-05-17 13:32:01, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.001280
127.0.0.1, 2018-05-17 13:32:01, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.003418
127.0.0.1, 2018-05-17 13:32:01, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.001277
